Using device: cuda
Found 244 patient folders in /mnt/Drive2/lucas/models/DIRAC/Dataset/predict_gbm/
[ok] Patient-001: optimized alt fields saved
[ok] Patient-002: optimized alt fields saved
[ok] Patient-004: optimized alt fields saved
[ok] Patient-005: optimized alt fields saved
[ok] Patient-006: optimized alt fields saved
[ok] Patient-007: optimized alt fields saved
[ok] Patient-008: optimized alt fields saved
[ok] Patient-009: optimized alt fields saved
[ok] Patient-010: optimized alt fields saved
[ok] Patient-011: optimized alt fields saved
[ok] Patient-012: optimized alt fields saved
[ok] Patient-013: optimized alt fields saved
[ok] Patient-014: optimized alt fields saved
[ok] Patient-015: optimized alt fields saved
[ok] Patient-017: optimized alt fields saved
[ok] Patient-018: optimized alt fields saved
[ok] Patient-021: optimized alt fields saved
[ok] Patient-022: optimized alt fields saved
[ok] Patient-023: optimized alt fields saved
[ok] Patient-025: optimized alt fields saved
[ok] Patient-027: optimized alt fields saved
[ok] Patient-028: optimized alt fields saved
[ok] Patient-029: optimized alt fields saved
[ok] Patient-030: optimized alt fields saved
[ok] Patient-031: optimized alt fields saved
[ok] Patient-032: optimized alt fields saved
[ok] Patient-033: optimized alt fields saved
[ok] Patient-034: optimized alt fields saved
[ok] Patient-037: optimized alt fields saved
[ok] Patient-038: optimized alt fields saved
[ok] Patient-039: optimized alt fields saved
[ok] Patient-040: optimized alt fields saved
[ok] Patient-041: optimized alt fields saved
[ok] Patient-042: optimized alt fields saved
[ok] Patient-043: optimized alt fields saved
[ok] Patient-045: optimized alt fields saved
[ok] Patient-046: optimized alt fields saved
[ok] Patient-048: optimized alt fields saved
[ok] Patient-049: optimized alt fields saved
[ok] Patient-050: optimized alt fields saved
[ok] Patient-051: optimized alt fields saved
[ok] Patient-052: optimized alt fields saved
[ok] Patient-055: optimized alt fields saved
[ok] Patient-059: optimized alt fields saved
[ok] Patient-060: optimized alt fields saved
[ok] Patient-061: optimized alt fields saved
[ok] Patient-062: optimized alt fields saved
[ok] Patient-064: optimized alt fields saved
[ok] Patient-066: optimized alt fields saved
[ok] Patient-068: optimized alt fields saved
[ok] Patient-071: optimized alt fields saved
[ok] Patient-072: optimized alt fields saved
[ok] Patient-073: optimized alt fields saved
[ok] Patient-075: optimized alt fields saved
[ok] Patient-077: optimized alt fields saved
[ok] Patient-078: optimized alt fields saved
[ok] Patient-080: optimized alt fields saved
[ok] Patient-086: optimized alt fields saved
[ok] Patient-087: optimized alt fields saved
[ok] Patient-089: optimized alt fields saved
[ok] Patient-090: optimized alt fields saved
[ok] Patient-091: optimized alt fields saved
[ok] RHUH-0001: optimized alt fields saved
[ok] RHUH-0002: optimized alt fields saved
[ok] RHUH-0003: optimized alt fields saved
[ok] RHUH-0004: optimized alt fields saved
[ok] RHUH-0005: optimized alt fields saved
[ok] RHUH-0006: optimized alt fields saved
[ok] RHUH-0007: optimized alt fields saved
[ok] RHUH-0008: optimized alt fields saved
[ok] RHUH-0009: optimized alt fields saved
[ok] RHUH-0010: optimized alt fields saved
[ok] RHUH-0011: optimized alt fields saved
[ok] RHUH-0012: optimized alt fields saved
[ok] RHUH-0013: optimized alt fields saved
[ok] RHUH-0014: optimized alt fields saved
[ok] RHUH-0015: optimized alt fields saved
[ok] RHUH-0016: optimized alt fields saved
[ok] RHUH-0017: optimized alt fields saved
[ok] RHUH-0018: optimized alt fields saved
[ok] RHUH-0019: optimized alt fields saved
[ok] RHUH-0020: optimized alt fields saved
[ok] RHUH-0021: optimized alt fields saved
[ok] RHUH-0022: optimized alt fields saved
[ok] RHUH-0023: optimized alt fields saved
[ok] RHUH-0024: optimized alt fields saved
[ok] RHUH-0025: optimized alt fields saved
[ok] RHUH-0026: optimized alt fields saved
[ok] RHUH-0027: optimized alt fields saved
[ok] RHUH-0028: optimized alt fields saved
[ok] RHUH-0029: optimized alt fields saved
[ok] RHUH-0030: optimized alt fields saved
[ok] RHUH-0031: optimized alt fields saved
[ok] RHUH-0032: optimized alt fields saved
[ok] RHUH-0033: optimized alt fields saved
[ok] RHUH-0034: optimized alt fields saved
[ok] RHUH-0035: optimized alt fields saved
[ok] RHUH-0036: optimized alt fields saved
[ok] RHUH-0037: optimized alt fields saved
[ok] RHUH-0038: optimized alt fields saved
[ok] RHUH-0039: optimized alt fields saved
[ok] RHUH-0040: optimized alt fields saved
[ok] respond_tum_001: optimized alt fields saved
[ok] respond_tum_002: optimized alt fields saved
[ok] respond_tum_004: optimized alt fields saved
[ok] respond_tum_005: optimized alt fields saved
[ok] respond_tum_006: optimized alt fields saved
[ok] respond_tum_007: optimized alt fields saved
[ok] respond_tum_008: optimized alt fields saved
[ok] respond_tum_009: optimized alt fields saved
[ok] respond_tum_010: optimized alt fields saved
[ok] respond_tum_011: optimized alt fields saved
[ok] respond_tum_014: optimized alt fields saved
[ok] respond_tum_015: optimized alt fields saved
[ok] respond_tum_016: optimized alt fields saved
[ok] respond_tum_017: optimized alt fields saved
[ok] respond_tum_018: optimized alt fields saved
[ok] respond_tum_019: optimized alt fields saved
[ok] respond_tum_020: optimized alt fields saved
[ok] respond_tum_021: optimized alt fields saved
[ok] respond_tum_024: optimized alt fields saved
[ok] respond_tum_026: optimized alt fields saved
[ok] respond_tum_030: optimized alt fields saved
[ok] respond_tum_031: optimized alt fields saved
[ok] respond_tum_033: optimized alt fields saved
[ok] respond_tum_035: optimized alt fields saved
[ok] respond_tum_036: optimized alt fields saved
[ok] respond_tum_039: optimized alt fields saved
[ok] respond_tum_041: optimized alt fields saved
[ok] respond_tum_045: optimized alt fields saved
[ok] respond_tum_046: optimized alt fields saved
[ok] respond_tum_047: optimized alt fields saved
[ok] respond_tum_051: optimized alt fields saved
[ok] respond_tum_053: optimized alt fields saved
[ok] respond_tum_054: optimized alt fields saved
[ok] respond_tum_055: optimized alt fields saved
[ok] respond_tum_056: optimized alt fields saved
[ok] respond_tum_057: optimized alt fields saved
[ok] respond_tum_058: optimized alt fields saved
[ok] respond_tum_061: optimized alt fields saved
[ok] respond_tum_062: optimized alt fields saved
[ok] respond_tum_065: optimized alt fields saved
[ok] respond_tum_066: optimized alt fields saved
[ok] respond_tum_068: optimized alt fields saved
[ok] respond_tum_070: optimized alt fields saved
[ok] respond_tum_072: optimized alt fields saved
[ok] respond_tum_073: optimized alt fields saved
[ok] respond_tum_074: optimized alt fields saved
[ok] respond_tum_077: optimized alt fields saved
[ok] respond_tum_078: optimized alt fields saved
[ok] respond_tum_079: optimized alt fields saved
[ok] respond_tum_081: optimized alt fields saved
[ok] respond_tum_082: optimized alt fields saved
[ok] respond_tum_085: optimized alt fields saved
[ok] respond_tum_086: optimized alt fields saved
[ok] respond_tum_087: optimized alt fields saved
[ok] respond_tum_088: optimized alt fields saved
[ok] respond_tum_089: optimized alt fields saved
[ok] respond_tum_091: optimized alt fields saved
[ok] respond_tum_093: optimized alt fields saved
[ok] respond_tum_095: optimized alt fields saved
[ok] respond_tum_096: optimized alt fields saved
[ok] respond_tum_097: optimized alt fields saved
[ok] respond_tum_098: optimized alt fields saved
[ok] respond_tum_099: optimized alt fields saved
[ok] respond_tum_100: optimized alt fields saved
[ok] respond_tum_101: optimized alt fields saved
[ok] respond_tum_105: optimized alt fields saved
[ok] respond_tum_106: optimized alt fields saved
[ok] respond_tum_107: optimized alt fields saved
[ok] respond_tum_109: optimized alt fields saved
[ok] respond_tum_111: optimized alt fields saved
[ok] respond_tum_116: optimized alt fields saved
[ok] respond_tum_117: optimized alt fields saved
[ok] respond_tum_118: optimized alt fields saved
[ok] respond_tum_119: optimized alt fields saved
[ok] respond_tum_120: optimized alt fields saved
[ok] respond_tum_121: optimized alt fields saved
[ok] respond_tum_122: optimized alt fields saved
[ok] respond_tum_123: optimized alt fields saved
[ok] respond_tum_125: optimized alt fields saved
[ok] respond_tum_126: optimized alt fields saved
[ok] respond_tum_127: optimized alt fields saved
[ok] respond_tum_128: optimized alt fields saved
[ok] respond_tum_130: optimized alt fields saved
[ok] respond_tum_131: optimized alt fields saved
[ok] respond_tum_133: optimized alt fields saved
[ok] respond_tum_136: optimized alt fields saved
[ok] respond_tum_138: optimized alt fields saved
[ok] respond_tum_139: optimized alt fields saved
[ok] respond_tum_140: optimized alt fields saved
[ok] respond_tum_145: optimized alt fields saved
[ok] respond_tum_146: optimized alt fields saved
[ok] respond_tum_150: optimized alt fields saved
[ok] respond_tum_156: optimized alt fields saved
[ok] respond_tum_157: optimized alt fields saved
[ok] tgm001: optimized alt fields saved
[ok] tgm003: optimized alt fields saved
[ok] tgm004: optimized alt fields saved
[ok] tgm005: optimized alt fields saved
[ok] tgm006: optimized alt fields saved
[ok] tgm009: optimized alt fields saved
[ok] tgm010: optimized alt fields saved
[ok] tgm011: optimized alt fields saved
[ok] tgm013: optimized alt fields saved
[ok] tgm014: optimized alt fields saved
[ok] tgm016: optimized alt fields saved
[ok] tgm018: optimized alt fields saved
[ok] tgm023: optimized alt fields saved
[ok] tgm024: optimized alt fields saved
[ok] tgm025: optimized alt fields saved
[ok] tgm026: optimized alt fields saved
[ok] tgm027: optimized alt fields saved
[ok] tgm028: optimized alt fields saved
[ok] tgm029: optimized alt fields saved
[ok] tgm031: optimized alt fields saved
[ok] tgm033: optimized alt fields saved
[ok] tgm034: optimized alt fields saved
[ok] tgm035: optimized alt fields saved
[ok] tgm036: optimized alt fields saved
[ok] tgm037: optimized alt fields saved
[ok] tgm038: optimized alt fields saved
[ok] tgm039: optimized alt fields saved
[ok] tgm041: optimized alt fields saved
[ok] tgm042: optimized alt fields saved
[ok] tgm044: optimized alt fields saved
[ok] tgm045: optimized alt fields saved
[ok] tgm047: optimized alt fields saved
[ok] tgm048: optimized alt fields saved
[ok] tgm049: optimized alt fields saved
[ok] tgm052: optimized alt fields saved
[ok] tgm053: optimized alt fields saved
[ok] tgm054: optimized alt fields saved
[ok] tgm055: optimized alt fields saved
[ok] tgm056: optimized alt fields saved
[ok] tgm057: optimized alt fields saved
[ok] tgm060: optimized alt fields saved
[ok] tgm061: optimized alt fields saved
[ok] tgm063: optimized alt fields saved
[ok] tgm064: optimized alt fields saved
[ok] tgm065: optimized alt fields saved
[ok] tgm066: optimized alt fields saved
[ok] tgm068: optimized alt fields saved
[ok] tgm071: optimized alt fields saved
Done.
