Using device: cuda
Found 142 patient folders in /mnt/Drive2/lucas/models/DIRAC/Dataset/predict_gbm/
[ok] respond_tum_001: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_001_Y_X_recurrence.nii.gz
[ok] respond_tum_002: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_002_Y_X_recurrence.nii.gz
[ok] respond_tum_004: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_004_Y_X_recurrence.nii.gz
[ok] respond_tum_005: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_005_Y_X_recurrence.nii.gz
[ok] respond_tum_006: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_006_Y_X_recurrence.nii.gz
[ok] respond_tum_007: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_007_Y_X_recurrence.nii.gz
[ok] respond_tum_008: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_008_Y_X_recurrence.nii.gz
[ok] respond_tum_009: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_009_Y_X_recurrence.nii.gz
[ok] respond_tum_010: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_010_Y_X_recurrence.nii.gz
[ok] respond_tum_011: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_011_Y_X_recurrence.nii.gz
[ok] respond_tum_014: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_014_Y_X_recurrence.nii.gz
[ok] respond_tum_015: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_015_Y_X_recurrence.nii.gz
[ok] respond_tum_016: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_016_Y_X_recurrence.nii.gz
[ok] respond_tum_017: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_017_Y_X_recurrence.nii.gz
[ok] respond_tum_018: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_018_Y_X_recurrence.nii.gz
[ok] respond_tum_019: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_019_Y_X_recurrence.nii.gz
[ok] respond_tum_020: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_020_Y_X_recurrence.nii.gz
[ok] respond_tum_021: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_021_Y_X_recurrence.nii.gz
[ok] respond_tum_024: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_024_Y_X_recurrence.nii.gz
[ok] respond_tum_026: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_026_Y_X_recurrence.nii.gz
[ok] respond_tum_030: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_030_Y_X_recurrence.nii.gz
[ok] respond_tum_031: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_031_Y_X_recurrence.nii.gz
[ok] respond_tum_033: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_033_Y_X_recurrence.nii.gz
[ok] respond_tum_035: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_035_Y_X_recurrence.nii.gz
[ok] respond_tum_036: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_036_Y_X_recurrence.nii.gz
[ok] respond_tum_039: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_039_Y_X_recurrence.nii.gz
